id,type,date,amount,bookmaker,notes
1777709390776,withdrawal,2026-05-02,2,Betfair,
1777708366386,deposit,2026-05-02,5,Betfair,
1777708180762,withdrawal,2026-05-02,1,Paddy Power,
1777657706104,withdrawal,2026-05-01,1,Paddy Power,
1777621278800,withdrawal,2026-05-01,1.62,Paddy Power,
1777621239606,withdrawal,2026-04-30,2.2,Paddy Power,
1777621224488,deposit,2026-04-29,5,Paddy Power,
1777404824468,withdrawal,2026-04-28,2.18,Paddy Power,
1777404815375,withdrawal,2026-04-28,1.5,Paddy Power,
1777404793296,withdrawal,2026-04-26,1.5,Paddy Power,
1777404776581,withdrawal,2026-04-25,1.5,Paddy Power,
1777106789631,withdrawal,2026-04-25,2.5,Paddy Power,
1777106555028,withdrawal,2026-04-25,1,Paddy Power,
1777101228319,withdrawal,2026-04-25,2.71,Paddy Power,
1777101082033,deposit,2026-04-24,5,Paddy Power,
1777037154697,withdrawal,2026-04-24,1,Paddy Power,
1777023209096,withdrawal,2026-04-24,2.15,Betfair,
1777023196397,deposit,2026-04-24,5,Betfair,
1777010778012,withdrawal,2026-04-24,3.14,Paddy Power,
1777010726609,deposit,2026-04-24,5,Paddy Power,